radio,mcc,mnc,lac,cellid,unit,lon,lat,range,samples,changeable,created,updated,averageSignalStrength
LTE,234,20,1062,99584,0,-0.2162,51.4635,611,47,1,1394749736,1753550276,0
LTE,234,20,1057,164866,0,-0.2215,51.4923,4227,67,1,1394765487,1720010479,0
GSM,234,30,2214,22750,0,0.2315,51.4334,3240,132,1,1394959527,1718142842,0
GSM,234,30,2291,61250,0,-0.404,51.3057,16463,120,1,1394964032,1725822181,0
LTE,234,20,1073,202497,0,-0.0858,51.4752,1000,15,1,1395667433,1719427504,0
LTE,234,20,1071,96769,0,-0.0856,51.4883,1573,28,1,1396115725,1710104110,0
LTE,234,20,1092,168706,0,-0.0637,51.4269,24239,37,1,1397393484,1726862103,0
LTE,234,20,1157,132609,0,-0.0272,51.5821,1751,26,1,1397418689,1754742003,0
GSM,234,30,2291,21378,0,-0.3133,51.298,1000,47,1,1397748798,1725822423,0
LTE,234,20,1172,212482,0,-0.3992,51.6578,737,129,1,1398080743,1722193985,0
UMTS,234,20,148,15414776,292,0.0625,51.6156,3868,107,1,1458626483,1712907611,0
UMTS,234,10,21012,805839,194,-0.163,51.5658,1000,21,1,1458812962,1745158983,0
UMTS,234,10,22028,1857295,233,-0.4537,51.4316,1000,12,1,1458908598,1756570922,0
UMTS,234,10,22028,1863898,200,-0.3993,51.4722,2895,35,1,1458908599,1756560190,0
UMTS,234,10,22028,1869313,117,-0.4036,51.4426,2262,7,1,1458908600,1756576141,0
UMTS,234,10,22028,1867237,281,-0.5026,51.4785,603,28,1,1458908600,1756486866,0
LTE,234,20,1078,194818,0,-0.0952,51.4613,1000,22,1,1458956793,1737120243,0
LTE,234,20,1446,208384,0,-0.4361,51.5048,1754,116,1,1463872077,1711918988,0
LTE,234,20,1124,1488896,0,-0.2968,51.4647,7462,57,1,1465179981,1720555205,0
LTE,234,20,1103,211713,0,-0.0112,51.52,5135,26,1,1398689064,1754531105,0
LTE,234,20,1046,82178,0,-0.1379,51.5002,500,50,1,1399793159,1746983766,0
LTE,234,20,1115,155650,0,-0.3328,51.4727,2289,12,1,1400514621,1753550256,0
LTE,234,10,4112,128501624,0,-0.0631,51.5349,1125,18,1,1401119318,1750530062,0
LTE,234,20,1103,211714,0,-0.0189,51.524,1552,49,1,1401209335,1746233822,0
LTE,234,10,4112,128098178,0,-0.0744,51.53,8027,19,1,1401283065,1750841821,0
LTE,234,10,4112,128098168,0,-0.0679,51.5301,1101,7,1,1401283065,1743701942,0
LTE,234,10,4096,128008046,0,-0.4915,51.4676,2765,47,1,1401363291,1720010475,0
LTE,234,20,1152,268544,0,0.0198,51.5809,2966,22,1,1401397247,1730765522,0
LTE,234,20,1022,111105,0,-0.1271,51.5,1727,33,1,1401480389,1750009866,0
LTE,234,20,1054,142850,0,-0.0744,51.5165,5212,22,1,1401496234,1751421004,0
LTE,234,20,1055,124160,0,-0.0888,51.5109,1000,12,1,1401597707,1746983765,0
LTE,234,20,1055,124161,0,-0.0887,51.509,1152,30,1,1401597767,1750009865,0
LTE,234,20,1050,93952,0,-0.1201,51.4859,2929,109,1,1401598157,1720010481,0
LTE,234,20,1085,171778,0,0.0611,51.5077,1730,50,1,1401625253,1752432125,0
LTE,234,10,4224,128549752,0,-0.3976,51.6593,2763,10,1,1401892675,1723052527,0
UMTS,234,10,22020,1329897,312,-0.396,51.6708,1113,29,1,1401927350,1721169084,0
LTE,234,20,1103,143873,0,-0.0328,51.5219,1074,29,1,1401971757,1751768463,0
LTE,234,20,1056,92416,0,-0.0306,51.5172,1040,41,1,1401972057,1751768463,0
LTE,234,20,1085,130306,0,0.0409,51.5021,5608,50,1,1401972627,1752432128,0
LTE,234,20,1085,171777,0,0.064,51.5001,2877,24,1,1401953148,1752432125,0
LTE,234,20,1085,130305,0,0.0567,51.4965,1062,25,1,1401978098,1752432124,0
LTE,234,10,4320,128553858,0,-0.1837,51.5131,4444,25,1,1401989468,1751477161,0
UMTS,234,10,21090,5933713,58,-0.1888,51.5157,3000,22,1,1401989717,1748044202,0
LTE,234,20,1006,84738,0,-0.1385,51.5416,2328,27,1,1402050234,1746146342,0
